"filename", "language", "Python", "Markdown", "pip requirements", "YAML", "HTML", "comment", "blank", "total"
"c:\Users\81701\Pythonプロジェクト\学位ソート検索サイト\.github\workflows\cd.yml", "YAML", 0, 0, 0, 67, 0, 0, 11, 78
"c:\Users\81701\Pythonプロジェクト\学位ソート検索サイト\.github\workflows\ci.yml", "YAML", 0, 0, 0, 45, 0, 0, 9, 54
"c:\Users\81701\Pythonプロジェクト\学位ソート検索サイト\ETLpipe.py", "Python", 112, 0, 0, 0, 0, 54, 30, 196
"c:\Users\81701\Pythonプロジェクト\学位ソート検索サイト\README.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\81701\Pythonプロジェクト\学位ソート検索サイト\analyze_results.py", "Python", 94, 0, 0, 0, 0, 17, 24, 135
"c:\Users\81701\Pythonプロジェクト\学位ソート検索サイト\check_site.py", "Python", 112, 0, 0, 0, 0, 30, 23, 165
"c:\Users\81701\Pythonプロジェクト\学位ソート検索サイト\crawler\crawlAndSaver.py", "Python", 932, 0, 0, 0, 0, 121, 156, 1209
"c:\Users\81701\Pythonプロジェクト\学位ソート検索サイト\db\db_saver.py", "Python", 344, 0, 0, 0, 0, 136, 86, 566
"c:\Users\81701\Pythonプロジェクト\学位ソート検索サイト\db\jsontocsv.py", "Python", 234, 0, 0, 0, 0, 59, 45, 338
"c:\Users\81701\Pythonプロジェクト\学位ソート検索サイト\db\sync_to_parent.py", "Python", 186, 0, 0, 0, 0, 36, 52, 274
"c:\Users\81701\Pythonプロジェクト\学位ソート検索サイト\requirements.txt", "pip requirements", 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\81701\Pythonプロジェクト\学位ソート検索サイト\search\searcher.py", "Python", 331, 0, 0, 0, 0, 19, 42, 392
"c:\Users\81701\Pythonプロジェクト\学位ソート検索サイト\tests\analyze_results.py", "Python", 94, 0, 0, 0, 0, 17, 24, 135
"c:\Users\81701\Pythonプロジェクト\学位ソート検索サイト\tests\test_extract_page.py", "Python", 117, 0, 0, 0, 0, 28, 43, 188
"c:\Users\81701\Pythonプロジェクト\学位ソート検索サイト\tests\test_generate_csvs.py", "Python", 196, 0, 0, 0, 0, 35, 61, 292
"c:\Users\81701\Pythonプロジェクト\学位ソート検索サイト\tests\test_jsontocsv.py", "Python", 125, 0, 0, 0, 0, 16, 30, 171
"c:\Users\81701\Pythonプロジェクト\学位ソート検索サイト\tests\test_site_profile.py", "Python", 114, 0, 0, 0, 0, 16, 34, 164
"c:\Users\81701\Pythonプロジェクト\学位ソート検索サイト\webpage\detail.html", "HTML", 0, 0, 0, 0, 291, 0, 40, 331
"c:\Users\81701\Pythonプロジェクト\学位ソート検索サイト\webpage\index.html", "HTML", 0, 0, 0, 0, 434, 0, 64, 498
"Total", "-", 2991, 1, 4, 112, 725, 584, 775, 5192
