"run_id","query_text","used_count"
12,"ABA College official",2
12,"ABA College official site",2
12,"ABA College 公式",2
12,"ABM College official",2
12,"ABM College official site",2
12,"ABM College 公式",2
12,"Business College official",2
12,"Business College official site",2
12,"Business College 公式",2
12,"Christian School official",2
12,"Christian School official site",2
12,"Christian School 公式",2
12,"College of Advanced official",2
12,"College of Advanced official site",2
12,"College of Advanced 公式",2
12,"College of Art official",2
12,"College of Art official site",2
12,"College of Art 公式",2
12,"College of Business official",2
12,"College of Business official site",2
12,"College of Business 公式",2
12,"College of Health official",2
12,"College of Health official site",2
12,"College of Health 公式",2
12,"Davie School official",2
12,"Davie School official site",2
12,"Davie School 公式",2
12,"Driving School official",2
12,"Driving School official site",2
12,"Driving School 公式",2
12,"For-profit college official",2
12,"For-profit college official site",2
12,"For-profit college 公式",2
12,"Global College official",2
12,"Global College official site",2
12,"Global College 公式",2
12,"High School official",2
12,"High School official site",2
12,"High School 公式",2
12,"Memorial School official",2
12,"Memorial School official site",2
12,"Memorial School 公式",2
12,"Preparatory School official",2
12,"Preparatory School official site",2
12,"Preparatory School 公式",2
12,"Training Institute official",2
12,"Training Institute official site",2
12,"Training Institute 公式",2
12,"Training School official",2
12,"Training School official site",2
12,"Training School 公式",2
12,"Trucking School official",2
12,"Trucking School official site",2
12,"Trucking School 公式",2
12,"Virtual University official",2
12,"Virtual University official site",2
12,"Virtual University 公式",2
12,"Visual College official",2
12,"Visual College official site",2
12,"Visual College 公式",2
12,"of College official",2
12,"of College official site",2
12,"of College 公式",2
12,"secondary school official",2
12,"secondary school official site",2
12,"secondary school 公式",2
12,"site:www.mext.go.jp courses",1
12,"site:www.mext.go.jp programmes",1
12,"www.mext.go.jp official",1
11,"ABA College official",2
11,"ABA College official site",2
11,"ABA College 公式",2
11,"ABM College official",2
11,"ABM College official site",2
11,"ABM College 公式",2
11,"Business College official",2
11,"Business College official site",2
11,"Business College 公式",2
11,"College of Advanced official",2
11,"College of Advanced official site",2
11,"College of Advanced 公式",2
11,"College of Art official",2
11,"College of Art official site",2
11,"College of Art 公式",2
11,"College of Business official",2
11,"College of Business official site",2
11,"College of Business 公式",2
11,"College of Health official",2
11,"College of Health official site",2
11,"College of Health 公式",2
11,"Global College official",2
11,"Global College official site",2
11,"Global College 公式",2
11,"Training Institute official",2
11,"Training Institute official site",2
11,"Training Institute 公式",2
11,"Visual College official",2
11,"Visual College official site",2
11,"Visual College 公式",2
11,"site:www.mext.go.jp courses",1
11,"site:www.mext.go.jp programmes",1
11,"www.mext.go.jp official",1
10,"ABA College official",2
10,"ABA College official site",2
10,"ABA College 公式",2
10,"ABM College official",2
10,"ABM College official site",2
10,"ABM College 公式",2
10,"Business College official",2
10,"Business College official site",2
10,"Business College 公式",2
10,"College of Advanced official",2
10,"College of Advanced official site",2
10,"College of Advanced 公式",2
10,"College of Art official",2
10,"College of Art official site",2
10,"College of Art 公式",2
10,"College of Business official",2
10,"College of Business official site",2
10,"College of Business 公式",2
10,"College of Health official",2
10,"College of Health official site",2
10,"College of Health 公式",2
10,"Global College official",2
10,"Global College official site",2
10,"Global College 公式",2
10,"Training Institute official",2
10,"Training Institute official site",2
10,"Training Institute 公式",2
10,"Visual College official",2
10,"Visual College official site",2
10,"Visual College 公式",2
10,"site:www.mext.go.jp courses",1
10,"site:www.mext.go.jp programmes",1
10,"www.mext.go.jp official",1
9,"College of Art official",2
9,"College of Art official site",2
9,"College of Art 公式",2
9,"Visual College official",2
9,"Visual College official site",2
9,"Visual College 公式",2
9,"www.mext.go.jp official",1
